          target           |                         source                          |      category       
 autista                   | driver (female)                                         | noun1
 autista                   | driver (male)                                           | noun3
 autobus                   | bus                                                     | nouninvm
 automobile                | car,automobile                                          | noun2f
 automobilismo             | car racing                                              | noun1
 autore                    | author (male)                                           | noun2m
 autostrada                | highway                                                 | noun1
 autrice                   | author (female)                                         | noun2f
 autunno                   | fall,autumn                                             | noun1
 avaro                     | avaricious,greedy                                       | adj1
 avere bisogno di          | to need                                                 | phrasal-verb
 avere bisogno di          | to need (3 words)                                       | phrasal-verb
 avere torto               | to be wrong                                             | phrasal-verb
 avvenimento               | event (av...)                                           | noun1
 avvenire                  | to happen (a...)                                        | verb
 avvocato                  | lawyer                                                  | noun1
 azienda                   | company (business)                                      | noun1
 azzurro                   | sky blue                                                | adj1
 bacca                     | berry                                                   | noun1
 bacheca                   | message board                                           | noun1
 baciare                   | to kiss                                                 | verb
 bacio                     | kiss                                                    | noun1
 bagaglio                  | luggage                                                 | noun1
 bagno                     | bathroom                                                | noun1
 bagnoschiuma              | shower gel (masc.)                                      | nouninvm
 baita                     | mountain cabin                                          | noun1
 balconata                 | dress circle                                            | noun1
 balcone                   | balcony                                                 | noun2m
 balia                     | nanny                                                   | noun1
 ballerina                 | female dancer                                           | noun-1-lista-b
 ballerino                 | male dancer                                             | noun1
 balletto                  | ballet                                                  | noun1
 bambina                   | little girl                                             | noun1
 bambino                   | little boy                                              | noun1
 banana                    | banana                                                  | noun1
 banca                     | bank                                                    | noun1
 banco                     | counter, desk                                           | noun1
 bancomat                  | ATM                                                     | nouninvar
 banconota                 | bank note                                               | noun1
 bar                       | bar                                                     | nouninvm
 barattolo                 | jar                                                     | noun1
 barba                     | beard                                                   | noun1
 barca                     | boat                                                    | noun1
 barista                   | bartender                                               | noun3
 basso                     | bass guitar                                             | noun1
 basso                     | low,short(vs. tall)                                     | adj1
 bastone                   | stick, baton                                            | noun2m
 battere                   | to beat                                                 | verb
 battere                   | to hit (b...)                                           | verb
 batteria                  | drum kit                                                | noun1
 bellezza                  | beauty                                                  | noun1
 bello                     | pretty,beautiful                                        | adj1
 benché                    | although                                                | conj+subj
 bene                      | well                                                    | adv
 benessere                 | well being (1 word)                                     | noun2m
 benissimo                 | Very well                                               | adv
 benvenuto                 | welcome                                                 | adj1
 benzina                   | gasoline                                                | noun1
 biancheria intima         | underear                                                | phrase
 bianco                    | white                                                   | adj1
 bibita                    | soft drink                                              | noun1
 biblioteca                | library                                                 | noun1
 bicchiere                 | glass,cup                                               | noun2m
 bicicletta                | bicycle                                                 | noun1
 bidello                   | custodian                                               | noun1
 biglietteria              | ticket office                                           | noun1
 biglietto                 | ticket                                                  | noun1
 bilocale                  | two room apartment                                      | noun2-lista-b
 binario                   | train track                                             | noun1
 biologia                  | biology                                                 | noun1
 biologico                 | biological                                              | adj1
 biondo                    | blonde                                                  | adj1
 birra                     | beer                                                    | noun1
 birreria                  | beer garden                                             | noun1
 biscotto                  | cookie                                                  | noun1
 bisogna                   | it is necessary                                         | phrase
 bisogna                   | it is necessary (b...)                                  | phrase
 blu                       | blue                                                    | adjinv
 bocca                     | mouth                                                   | noun1
 bolletta                  | utility bill                                            | noun1
 borsa                     | bag                                                     | noun1
 borsetta                  | purse                                                   | noun1
 bosco                     | forest, woods (sing.)                                   | noun1
 bottiglia                 | bottle                                                  | noun1
 braccio                   | arm                                                     | nounneutr
 bravo                     | good (human or animal)                                  | adj1
 briciola                  | crumb                                                   | noun1
 brillante                 | bright                                                  | adj2
 brillare                  | to sparkle, shine                                       | verb
 brindisi                  | toast                                                   | nouninvm
 bruciare                  | to burn                                                 | verb
