          target           |                  source                  |     category     
 essenza                   | essence                                  | noun1
 estate                    | summer                                   | noun2f
 ettaro                    | acre                                     | noun1
 etto                      | 100 grams                                | noun1
 età                       | age                                      | nounfinv
 fabbrica                  | factory                                  | noun1
 fabbricazione             | manufacturing, production                | noun2f
 faccia                    | face                                     | noun1
 facoltà                   | university department                    | nouninvf
 fagiolino                 | green bean                               | noun1
 fagiolo                   | bean                                     | noun1
 falegname                 | carpenter                                | noun2m
 fame                      | hunger                                   | noun2f
 famiglia                  | family                                   | noun1
 fantascienza              | science fiction                          | noun1
 farina                    | flour                                    | noun1
 farmacia                  | pharmacy                                 | noun1
 farmacista                | pharmacist                               | noun3
 faro                      | headlight,lighthouse                     | noun1
 fattoria                  | farm                                     | noun1
 favola                    | fairy tale                               | noun1
 favore                    | favor                                    | noun2m
 febbre                    | fever                                    | noun2f
 felpa                     | sweatshirt                               | noun1
 femmina                   | female                                   | noun1
 femminista                | feminist                                 | noun3
 ferie                     | paid vacation                            | nounplf
 ferita                    | wound                                    | noun1
 fermata                   | bus stop                                 | noun1
 ferro da stiro            | iron (for ironing clothes)               | nounsingm
 festa                     | party                                    | noun1
 festival                  | festival                                 | nouninvm
 fetta                     | slice                                    | noun1
 fiamma                    | flame                                    | noun1
 fidanzata                 | female fiancee                           | noun1
 fidanzato                 | male fiancee                             | noun1
 fiducia                   | trust                                    | noun1
 fieno                     | hay                                      | noun1
 figlia                    | daughter                                 | noun1
 figliastra                | stepdaughter                             | noun1
 figliastro                | stepson                                  | noun1
 figlio                    | son                                      | noun1
 fila                      | line,queue (f...)                        | noun1
 film                      | film,movie                               | nouninvm
 filmino                   | home video                               | noun1
 fine                      | end                                      | noun2f
 fine settimana            | weekend                                  | nouninvm
 finestra                  | window                                   | noun1
 fiocco                    | bow, ribbon                              | noun1
 fiore                     | flower                                   | noun2m
 fiorista                  | florist                                  | noun3
 fisarmonica               | accordion                                | noun1
 fisica                    | physics                                  | noun1
 fiume                     | river                                    | noun2m
 flauto                    | flute                                    | noun1
